text,ret
公司 自筹,1
自筹资金 来源,1
政府 投资,0
国资 自筹 贷款 外资,1
自筹资金 来源,1
财政 企业 自筹资金,1
政府 投资,0
武汉 航空港 发展 集团 有限公司,1
非税 收入 燃油税 资金 资金来源,0
财政资金,0
中央财政 专项资金 地方 配套 资金,0
国资 自筹 贷款 外资,1
来源 国有 资金 落实,0
省级 财政资金,0
省 财政预算 资金,0
中央 省级 财政 专项资金,0
部省 补助 资金 地方 配套 资金 资金来源,0
业主 自筹 融资,1
湖北省财政厅 鄂 财建发 号 鄂 财建发 号 文 下达,0
自筹资金 来源,1
中央 投资 项目 具备 招标 条件,0
来源 襄阳 高新技术 产业 开发区 管委会,0
财政 资金来源,0
武汉市 东西湖区 交通运输 局,0
襄阳 高新技术 产业 开发区 管委会 项目 具备 招标 条件,0
国家 财政 专项资金 省 配套 资金,0
社会 资本 中央财政 补助,0
国有 资金 资金来源,0
国有 投资 资金来源,0
政府 投资,0
市级 城建 资金 资金来源,0
企业 自筹资金 来源,1
单位 自筹,1
单位 自筹,1
潜江市 公路 管理局 项目 具备 招标 条件,0
政府 专项资金,0
企业 自筹 银行贷款 资金来源,1
企业 自筹,1
企业 投资 银行贷款 资金来源,1
企业 自筹资金 来源,1
自筹资金 来源,1
自筹,1
上级 拨款 单位 自筹,1
政府 投资 资金来源,0
地方 财政 自筹,0
来源 政府 投资,0
钟祥市 财政 投资,0
企业 自筹,1
财政拨款,0
湖北省财政厅 鄂 财建发 号 鄂 财建发 号 文 下达,0
业主 自筹 银行贷款,1
国资 自筹 贷款 外资,1
政府 投资 资金来源,0
上级 专项资金,0
单位 自筹,1
部省 补助 资金 地方 自筹资金 项目 具备 招标 条件,2
自筹,1
企业 投资,1
财政资金 资金来源,0
政府 投资 资金来源,0
银行贷款 公司 自筹资金 来源,1
自筹,1
自筹资金 来源,1
国家 财政 专项资金,0
政府 拨款,0
部省 补助 地方 自筹资金 来源,2
财政 专项资金 补助 企业 自筹,0
上级 拨款 自筹资金 来源,1
政府 资金,0
中央 投资 万元,0
公司 自筹资金 来源,1
企业 投资 国内 银行贷款,1
政府 投资 资金来源,0
企业 自筹 贷款 资金来源,1
中央 省级 专项资金 采购 内容 包号 编号 分包 名称 计划 采购 品目 数量 包户 沼气 项目 关键设备 沼气 灶具 套 配套 管材 管件 沼气 净化器 套 第包 小型 沼气 工程项目 关键设备 沼气 升级版 灶具 台 第包 小型 沼气 工程项目 关键设备 配套 管材 管件 套 第包 小型 沼气 工程项目 关键设备 脱硫 脱水 阻火 装置 处 第包 小型 沼气 工程项目 关键设备 计量 监测仪器 处二 投标人 资格 条件 投标人 符合 中华人民共和国政府 采购 法 第二十二条 投标人 应为 中华人民共和国 境内 注册 法人 组织,0
上级 拨款,0
财政资金,0
建设 单位 自筹,1
上级 拨款 自筹,1
业主 自筹,1
政府 投资,0
政府 投资 工期 总工期 日历 天 工程质量 国家 施工 验收 规范 合格 标准 投标人 资格 营业执照 提供 营业执照 资质 条件 具备 国家文物局 颁发 文物保护 工程施工 二级 资质 生产 许可证 具备 生产 许可证 财务 近两年 财务状况 亏损 须 提供 年度 年度 会计师 事务所 审计 认定 完整 财务 审计报告 业绩 投标人 近两年 投标 截止 日前 推个,0
国资 自筹 贷款 外资,1
企业 自筹 贷款,1
市级 财政预算 资金来源,0
政府 投资 工期 计划 开工日期 工期 为个 日历 天,0
部省 补助 地方 自筹,2
政府 投资 编制 费用 规划 编制 总费用 初步 计划 万元,0
财政 配套 资金,0
公司 自筹,1
国家 补助 地方 自筹 招标人 郧西县 汇丰 水电 开发 有限责任 公司,0
政府 专项资金,0
国家 投资,0
烟草行业 水源 工程 援建 项目 补助 资金,0
政府 资金来源,0
申请 国家 补助 资金,0
部省 补助 投资 地方 自筹,2
政府 投资,0
部省 补助 资金 地方 政府 配套 资金,0
国家 投资 项目 具备 招标 条件,0
来源 武汉市 黄冈市 财政资金,0
省 交通厅 补助 资金 业主 自筹,1
财政拨款 加 地方 自筹资金 来源,0
中央 投资 万元,0
单位 自筹 项目 具备 招标 条件,1
省级 投资,0
政府 投资,0
政府 自筹 融资 资金来源,1
国资 自筹 贷款 外资,1
国资 自筹 贷款 外资,1
财政 投资,0
财政资金 项目 具备 招标 条件,0
中央 投资 地方 配套 资金,0
政府 拨款,0
来源 国有 资金 落实,0
部省 补助 地方 自筹,2
国防 补助 资金 加 地方 自筹资金 来源,0
财政资金 资金来源,0
单位 自筹 项目 具备 招标 条件,1
武汉 交通 工程建设 投资 集团 有限公司,0
企业 自筹,1
部省 专项资金 地方 自筹 招标人 荆州 海子湖 投资 有限公司,0
沪汉蓉 铁路 湖北 有限责任 公司 资金 安排,1
地方 财政资金 项目 施工 具备 招标 条件,0
融资 企业 自筹 招标人 江汉 枢纽 荆门 保税 物流 有限公司,1
中央 投资 地方 配套 投资,0
中央 投资 省级 配套 地方 配套 招标人 张湾区 年度 农村 饮水 工程建设 项目部,0
湖北 交投 沙公 高速公路 有限公司 资金来源,0
由省 财政厅 鄂 财农发 号 文 下达 招标人 张湾区 小型 农田水利 工程建设 项目部,0
来源 国有 资金,0
国资 资金,0
银行贷款 自筹,1
财政拨款 资金来源,0
来源 中国 铁路 总公司 武汉 铁路局,0
财政,0
上级 交通部门 补助 地方 财政 配套,0
财政,0
南山 灌区 项目 监理 二次 招标 公告 日期 招标 条件 湖北 路港 工程 咨询 有限公司 受 十堰市 茅箭区 水利局 委托,0
企业 自筹 项目 具备 招标 条件,1
省 拨 专款 资金,0
落实 来源于 地方 自筹资金,0
自筹 银行贷款 资金来源,1
政府 投资,0
上级 财政 补助 资金 地方 财政资金 医院 自筹资金,0
政府 投资 项目 出资 比例,0
政府 专项资金,0
省级 补助 资金,0
中央 专项资金,0
政府 专项资金,0
企业 自筹 银行贷款 项目前期 工作 具备 招标 条件,1
企业 自筹资金 来源,1
中央财政 地方 配套 资金,0
自筹,1
中央 市级 财政,0
企业 资金 项目 具备 招标 条件,1
落实,0
政府 投资,0
上级 补助 资金 项目 具备 招标 条件,0
银行贷款 企业 自筹资金 来源,1
企业 自筹 项目 施工 具备 招标 条件,1
由十财 农发 号 下达,0
企业 投资,1
南山 灌区 项目 招标 公告 日期 招标 条件 招标 项目 十堰市 茅箭区 省级 小型 水利 设施 建设 资金 南山 灌区 项目 鄂 财农发 号 文 下达 投资 计划,0
国有 资金 资金来源,0
企业 自筹资金 受 招标人 委托,1
湖北省财政厅 鄂 财建发 号 文 拨付 招标人 十堰市 茅箭区 水利局,0
地方 自筹,0
省补及 地方 自筹,0
政府 投资 项目 具备 招标 条件,0
财政资金,0
企业 自筹 债务 融资 资金来源,1
自筹资金 来源,1
为省 补及 地方 自筹,0
企业 自筹资金,1
政府 拔款 工期 计划 开工日期 工期 为个 日历 天,0
南山 灌区 项目 监理 招标 公告 日期 招标 条件 湖北 路港 工程 咨询 有限公司 受 十堰市 茅箭区 水利局 委托,0
国有 资金 企业 自筹资金 来源,1
省级 财政资金,0
国有 资金来源,0
财政 投资 资金来源,0
中央 预算内 投资 地方 政府 配套 资金 资金来源,0
沙北 公司 投资 资金来源,1
白鹭 湖 管理区 债权人,0
自筹资金,1
落实 招标 项目 鄂北 地区 水资源 配置 工程 项目 第标 视频 会商 显示 系统 一期 项目 湖北省 水利水电 工程 招标 管理 委员会 办公室 以号 招标 方案 备案 表 批复 招标,2
省级 补助 资金 地方 配套 资金,0
自筹资金 资金来源,1
自筹,1
中央财政 投资,0
铁路局 更新改造 资金,0
自筹资金,1
中央 预算内 投资 地方 投资,0
自筹资金 资金来源,1
